"Rapport";"PeriodeFinanciere";"RSS";"CorrespEtabInstal";"NomAbreg";"Classe";"nomClasse";"Groupe";"GroupeDesc";"Statut";"ModFin";"Missions";"PLC";"LC";"P";"L";"C";"ValeurSaisie";"Chiffre"
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL14C06";"L14C06";"10F";"14";"06";"248";248
"AS484";"2012-2013";"06";"11168606";"CENTRE DE READAPTATION CONSTANCE-LETHBRIDGE";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"5";5
"AS484";"2012-2013";"05";"12549952";"CENTRE DE READAPTATION ESTRIE INC.";"31";"CR";"30";"Centres publics pour personnes présentant une déficience intellectuelle";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"41";41
"AS484";"2012-2013";"04";"12566279";"CENTRE DE READAPTATION INTERVAL";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"850";850
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL14C06";"L14C06";"10F";"14";"06";"8606";8606
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"1731";1731
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"301";301
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"70628";70628
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C01";"L15C01";"10F";"15";"01";"1";1
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C01";"L15C01";"10F";"15";"01";"33";33
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL15C04";"L15C04";"10F";"15";"04";"2240";2240
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL15C01";"L15C01";"10F";"15";"01";"51";51
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL15C04";"L15C04";"10F";"15";"04";"220";220
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C01";"L15C01";"10F";"15";"01";"35021";35021
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C02";"L15C02";"10F";"15";"02";"0";0
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL15C02";"L15C02";"10F";"15";"02";"11";11
"AS484";"2012-2013";"06";"11168606";"CENTRE DE READAPTATION CONSTANCE-LETHBRIDGE";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C02";"L15C02";"10F";"15";"02";"14";14
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL15C02";"L15C02";"10F";"15";"02";"3247";3247
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C02";"L15C02";"10F";"15";"02";"789";789
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C03";"L15C03";"10F";"15";"03";"0";0
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL15C03";"L15C03";"10F";"15";"03";"52";52
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL15C03";"L15C03";"10F";"15";"03";"46";46
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C03";"L15C03";"10F";"15";"03";"1644";1644
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL16C01";"L16C01";"10F";"16";"01";"7385";7385
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL15C01";"L15C01";"10F";"15";"01";"326";326
"AS484";"2012-2013";"08";"12777694";"CENTRE DE READAPTATION LA MAISON";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"87";87
"AS484";"2012-2013";"05";"12549952";"CENTRE DE READAPTATION ESTRIE INC.";"31";"CR";"30";"Centres publics pour personnes présentant une déficience intellectuelle";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"219";219
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL16C05";"L16C05";"10F";"16";"05";"97";97
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C05";"L16C05";"10F";"16";"05";"116";116
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"841";841
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"199698";199698
"AS484";"2012-2013";"01";"11043478";"CSSS DE LA MITIS";"80";"CSSS";"10";"Centre publique de santé et de services sociaux";"Public";"À budget";"CLSC-CHSLD-CR";"P10FL16C06";"L16C06";"10F";"16";"06";"160";160
"AS484";"2012-2013";"12";"11043817";"CR EN DEFICIENCE PHYSIQUE CHAUDIERE-APPALACHES";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"24";24
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL16C06";"L16C06";"10F";"16";"06";"3991";3991
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL16C06";"L16C06";"10F";"16";"06";"19";19
"AS484";"2012-2013";"06";"11168606";"CENTRE DE READAPTATION CONSTANCE-LETHBRIDGE";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"115";115
"AS484";"2012-2013";"05";"12549952";"CENTRE DE READAPTATION ESTRIE INC.";"31";"CR";"30";"Centres publics pour personnes présentant une déficience intellectuelle";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"225";225
"AS484";"2012-2013";"04";"12566279";"CENTRE DE READAPTATION INTERVAL";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C05";"L16C05";"10F";"16";"05";"0";0
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL16C06";"L16C06";"10F";"16";"06";"12585";12585
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL16C05";"L16C05";"10F";"16";"05";"10";10
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"1757";1757
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"7360";7360
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"870";870
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL17C01";"L17C01";"10F";"17";"01";"0";0
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL17C01";"L17C01";"10F";"17";"01";"182";182
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL17C01";"L17C01";"10F";"17";"01";"128";128
"AS484";"2012-2013";"06";"29732187";"VILLA MEDICA INC.";"21";"CHSGS";"50";"Centres privés conventionnés";"Privé";"Conventionné général";"CH";"P10FL17C01";"L17C01";"10F";"17";"01";"44";44
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL17C02";"L17C02";"10F";"17";"02";"0";0
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL17C03";"L17C03";"10F";"17";"03";"0";0
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL17C03";"L17C03";"10F";"17";"03";"103";103
"AS484";"2012-2013";"02";"11043833";"CSSS DE JONQUIERE";"80";"CSSS";"10";"Centre publique de santé et de services sociaux";"Public";"À budget";"CLSC-CH-CHSLD-CR";"P10CL21C06";"L21C06";"10C";"21";"06";"44175";44175
"AS484";"2012-2013";"04";"12566279";"CENTRE DE READAPTATION INTERVAL";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C06";"L16C06";"10F";"16";"06";"919";919
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C03";"L16C03";"10F";"16";"03";"11";11
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL14C06";"L14C06";"10F";"14";"06";"4";4
"AS484";"2012-2013";"08";"12777694";"CENTRE DE READAPTATION LA MAISON";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"87";87
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"730";730
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C02";"L16C02";"10F";"16";"02";"21";21
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C02";"L16C02";"10F";"16";"02";"908";908
"AS484";"2012-2013";"06";"11168606";"CENTRE DE READAPTATION CONSTANCE-LETHBRIDGE";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C02";"L16C02";"10F";"16";"02";"56";56
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL16C02";"L16C02";"10F";"16";"02";"5111";5111
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C02";"L16C02";"10F";"16";"02";"0";0
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C03";"L16C03";"10F";"16";"03";"0";0
"AS484";"2012-2013";"12";"11043817";"CR EN DEFICIENCE PHYSIQUE CHAUDIERE-APPALACHES";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C03";"L16C03";"10F";"16";"03";"7";7
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL16C03";"L16C03";"10F";"16";"03";"1188";1188
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL16C05";"L16C05";"10F";"16";"05";"89";89
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL16C03";"L16C03";"10F";"16";"03";"6445";6445
"AS484";"2012-2013";"04";"12566279";"CENTRE DE READAPTATION INTERVAL";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"607";607
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C04";"L16C04";"10F";"16";"04";"626";626
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C04";"L16C04";"10F";"16";"04";"18620";18620
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL16C04";"L16C04";"10F";"16";"04";"968";968
"AS484";"2012-2013";"04";"12566279";"CENTRE DE READAPTATION INTERVAL";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C04";"L16C04";"10F";"16";"04";"312";312
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL16C04";"L16C04";"10F";"16";"04";"1660";1660
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL16C04";"L16C04";"10F";"16";"04";"915";915
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C04";"L16C04";"10F";"16";"04";"13";13
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C05";"L16C05";"10F";"16";"05";"134";134
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C05";"L16C05";"10F";"16";"05";"71514";71514
"AS484";"2012-2013";"01";"11043478";"CSSS DE LA MITIS";"80";"CSSS";"10";"Centre publique de santé et de services sociaux";"Public";"À budget";"CLSC-CHSLD-CR";"P10FL16C05";"L16C05";"10F";"16";"05";"157";157
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL16C05";"L16C05";"10F";"16";"05";"476";476
